ID,level,input_noise,N_fixations,N_distant_fixations,trial,time_played,N_attempt,done,SoC,level_difficulty,crashed,N_prior_crashs,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
IT02AH,5,0.5,132.0,46.0,33,43.30982279777527,1,True,6,hard,0,17,1,1,1,9
IT02AH,1,1.5,21.0,7.0,34,7.892199277877808,1,False,2,medium,1,17,0,0,0,9
IT02AH,5,2.0,116.0,37.0,35,43.563411235809326,3,True,5,hard,0,18,1,1,1,10
IT02AH,4,2.0,90.0,33.0,36,34.55601143836975,3,False,3,hard,1,18,0,0,0,10
IT02AH,4,1.5,114.0,26.0,37,44.26355481147766,3,True,7,hard,0,19,1,1,1,11
IT02AH,6,1.0,123.0,48.0,38,43.7166600227356,1,True,7,hard,0,19,2,0,0,11
IT02AH,3,0.5,123.0,43.0,39,44.07200884819031,1,True,6,medium,0,19,3,0,0,11
IT02AH,6,2.0,116.0,37.0,40,42.91636800765991,2,True,6,hard,0,19,4,0,0,11
IT02AH,6,1.5,176.0,46.0,41,47.67236137390137,1,True,7,hard,0,19,5,0,0,11
IT02AH,1,1.5,50.0,30.0,42,9.390776634216309,2,False,2,medium,1,19,0,0,0,11
IT02AH,1,1.0,116.0,42.0,43,43.50267148017883,2,True,7,medium,0,20,1,1,1,12
IT02AH,6,0.5,107.0,36.0,44,42.973328590393066,3,True,7,hard,0,20,2,0,0,12
IT02AH,2,1.0,116.0,36.0,45,43.48592925071716,1,True,6,medium,0,20,3,0,0,12
IT02AH,1,1.5,150.0,61.0,46,42.80733370780945,3,True,6,medium,0,20,4,0,0,12
IT02AH,4,1.0,90.0,26.0,47,36.04320168495178,1,False,4,hard,1,20,0,0,0,12
IT02AH,4,1.0,123.0,48.0,48,43.31062984466553,2,True,6,hard,0,21,1,1,1,13
TM15AA,6,0.5,217.0,117.0,00,43.846226930618286,1,True,7,hard,0,0,2,0,0,0
TM15AA,4,1.5,57.0,41.0,01,10.068161487579346,1,False,2,hard,1,0,0,0,0,0
TM15AA,3,2.0,222.0,63.0,02,44.004711627960205,1,True,7,medium,0,1,1,1,1,1
TM15AA,6,0.0,207.0,99.0,03,44.145761013031006,1,True,7,hard,0,1,2,0,0,1
TM15AA,4,1.0,266.0,141.0,04,43.85077261924744,1,True,7,hard,0,1,3,0,0,1
TM15AA,2,0.0,421.0,300.0,05,42.45538401603699,1,False,6,medium,1,1,0,0,0,1
TM15AA,1,1.0,208.0,208.0,06,43.474456787109375,1,True,7,medium,0,2,1,1,1,2
TM15AA,4,2.0,126.0,54.0,07,13.218561887741089,1,False,6,hard,1,2,0,0,0,2
TM15AA,1,2.0,183.0,151.0,08,43.60385417938232,1,True,7,medium,0,3,1,1,1,3
TM15AA,6,2.0,55.0,46.0,09,19.460521936416622,1,False,6,hard,1,3,0,0,0,3
TM15AA,5,0.0,134.0,101.0,10,42.14973664283752,1,True,7,hard,0,4,1,1,1,4
TM15AA,1,1.5,394.0,328.0,11,42.71187996864319,1,True,7,medium,0,4,2,0,0,4
TM15AA,1,0.0,37.0,20.0,12,43.21500849723816,1,True,7,medium,0,4,3,0,0,4
TM15AA,3,0.0,603.0,405.0,13,43.32079839706421,1,True,7,medium,0,4,4,0,0,4
TM15AA,1,0.5,123.0,87.0,14,43.49597692489624,1,True,7,medium,0,4,5,0,0,4
TM15AA,3,1.5,308.0,234.0,15,42.93268418312073,1,True,7,medium,0,4,6,0,0,4
TM15AA,5,0.5,105.0,76.0,16,42.83128213882446,1,True,7,hard,0,4,7,0,0,4
TM15AA,2,0.0,281.0,281.0,17,43.65718603134155,2,True,7,medium,0,4,8,0,0,4
TM15AA,2,1.5,580.0,378.0,18,42.95058226585388,1,True,7,medium,0,4,9,0,0,4
